,rawPL,sdPL,days,annPL,annSD,trades,semisd,semiannsd,MaxDD,Sharpe,Sortino,MAR,annInfo,annsdInfo,InfoRatio
"('benchmark', 'SPY')",0.4453541641441756,0.008302606877898628,1302,0.08619758015693721,0.1317997981947251,1258,0.0053687156861393125,0.08522571939201672,-0.20914345313524824,0.6540038857236051,1.0114033741440207,0.4121457251697725,0.0,0.0,
"('Sharpe', 'insample')",1.8773404768044997,0.009941750916125671,1301,0.36363551126420746,0.15782040312370255,9251,0.005541330893159525,0.0879659008537172,-0.13903717369948354,2.3041096339057203,4.133823535427833,2.615383365388117,0.20822127510421376,0.12022893780624203,1.7318731987783007
"('Sharpe', 'outsample')",-0.09778679574507551,0.01038312433800604,1292,-0.019072966352754666,0.16482698898135686,9287,0.006957962457876436,0.1104542297715887,-0.24622213162013934,-0.11571506869492082,-0.17267755514837388,-0.07746243697613503,-0.07397685001677778,0.11865526255674122,-0.6234603373061678
"('Sortino', 'insample')",2.002983956437366,0.011159592782543392,1301,0.3879722959432869,0.17715304341216676,4865,0.005136932308504358,0.08154627234045275,-0.10868819883686642,2.1900402526002622,4.757695046114635,3.569589891958803,0.23850712546049718,0.15071309648345152,1.5825242200281218
"('Sortino', 'outsample')",0.09549858722038321,0.011038584551614408,1292,0.018626659426885888,0.17523209729838693,4798,0.007268945801150941,0.11539093730071533,-0.24594610940306463,0.10629707521658106,0.16142220405354502,0.0757347187645888,-0.035646102639155026,0.13798935241086255,-0.2583250230280011
"('MAR', 'insample')",1.7231512831892486,0.011962630266387175,1290,0.336615599506737,0.18990086826644892,3592,0.0053623259703817665,0.08512428579895957,-0.08643546380270095,1.7725858895728344,3.954401453678349,3.8944153787975435,0.2024072345149033,0.16412221607413316,1.233271395893637
"('MAR', 'outsample')",0.309845678462326,0.012142926085734255,1290,0.06052799300194276,0.19276297566895095,3589,0.007437725874185941,0.11807023789779889,-0.3421610433938795,0.3140021717961694,0.5126439488868951,0.17689913615404143,0.0009125763322398618,0.1572885461990725,0.005801924897219522
"('InfoRatio', 'insample')",1.8972168347451566,0.00985293801252875,1299,0.36805130281430287,0.15641054198691648,21399,0.00545000488371429,0.08651614539837303,-0.14097438492671643,2.353110590493893,4.254134313538478,2.6107672184959645,0.3144257492517602,0.09727631314497931,3.2322950889713953
"('InfoRatio', 'outsample')",-0.11925377401649356,0.009775945251319647,1299,-0.023134681333453717,0.1551883197934477,21633,0.006633091247331609,0.10529705918423199,-0.4986026025491062,-0.14907488762199037,-0.21970871278538126,-0.046399038463051816,-0.07184288996144145,0.10143949716768669,-0.7082338927871463
